Pos,Player,Team,Rating,Career Best Rating
38,Jonny Bairstow,ENG,591,796
39,Jason Roy,ENG,587,782
40,Rahmat Shah,AFG,586,635
41,Joe Root,ENG,582,824
42,Tom Latham,NZ,579,657
43,Devon Conway,NZ,579,602
44,Mitchell Marsh,AUS,577,641
45,Shakib Al Hasan,BAN,571,692
46,Sean Williams,ZIM,566,571
47,Ishan Kishan,IND,551,625
48,Kusal Mendis,SL,550,631
49,Rachin Ravindra,NZ,548,560
50,Mahmudullah,BAN,545,595
51,Litton Das,BAN,541,627
52,Hashmatullah Shaidi,AFG,537,545
53,Assad Vala,PNG,536,550
54,Sadeera Samarawickrama,SL,535,535
55,George Munsey,SCO,529,587
56,Tamim Iqbal,BAN,523,737
57,Alex Carey,AUS,522,669
58,Andrew Balbirnie,IRE,521,584
59,Will Young,NZ,521,523
60,Nazmul Shanto,BAN,521,521
61,Vriitya Aravind,UAE,518,538
62,Gajanand Singh,USA,512,512
63,Aaron Jones,USA,510,540
64,Max O'Dowd,NED,506,517
65,Kyle Coetzer,SCO,506,647
66,Aqib Ilyas,OMA,501,578
67,Muhammad Waseem,UAE,500,511
68,Glenn Phillips,NZ,496,496
69,Richard Berrington,SCO,496,535
70,Monank Patel,USA,493,554
71,Zeeshan Maqsood,OMA,487,514
72,Michael Leask,SCO,484,491
73,Aasif Sheikh,NEP,479,496
74,Asif Khan,UAE,476,476
75,Ayaan Khan,OMA,476,476
76,Azmatullah Omarzai,AFG,469,469
77,Martin Guptill,NZ,469,789
78,Kashyap Prajapati,OMA,464,464
79,Craig Ervine,ZIM,464,524
80,Steven Taylor,USA,462,501
81,R.K. Paudel,NEP,461,519
82,Najibullah Zadran,AFG,460,555
83,Shikhar Dhawan,IND,460,813
84,George Dockrell,IRE,460,460
85,Mohammad Nabi,AFG,459,545
86,Brandon King,WI,458,471
87,Michael van Lingen,NAM,457,465
88,Jatinder Singh,OMA,453,506
89,Henry Nicholls,NZ,452,596
90,Hardik Pandya,IND,451,561
91,Iftikhar Ahmed,PAK,448,453
92,Towhid Hridoy,BAN,447,447
93,Brandon McMullen,SCO,445,445
94,Curtis Campher,IRE,440,444
95,Ryan Burl,ZIM,437,437
96,Teja Nidamanuru,NED,434,443
97,Suryakumar Yadav,IND,434,441
98,Haris Sohail,PAK,434,618
99,Kushal Bhurtel,NEP,432,432
100,Vikramjit Singh,NED,432,467
1,Keshav Maharaj,SA,741,741
2,Josh Hazlewood,AUS,703,733
3,Mohammed Siraj,IND,699,736
4,Jasprit Bumrah,IND,685,841
5,Adam Zampa,AUS,675,695
6,Rashid Khan,AFG,667,806
7,Kuldeep Yadav,IND,667,765
8,Trent Boult,NZ,663,775
9,Shaheen Afridi,PAK,650,688
10,Mohammad Shami,IND,648,657
11,Mohammad Nabi,AFG,648,657
12,Mitchell Starc,AUS,622,783
13,Mujeeb Ur Rahman,AFG,621,712
14,Kagiso Rabada,SA,617,724
15,Chris Woakes,ENG,614,711
16,Maheesh Theekshana,SL,611,612
17,Mark Watt,SCO,611,622
18,Matt Henry,NZ,611,691
19,Mitchell Santner,NZ,600,663
20,Ravindra Jadeja,IND,590,738
21,Bernard Scholtz,NAM,589,589
22,Saurabh Netravalkar,USA,586,597
23,David Willey,ENG,582,582
24,Shakib Al Hasan,BAN,578,717
25,Akeal Hosein,WI,563,597
26,Haris Rauf,PAK,563,582
27,Pat Cummins,AUS,562,729
28,Adil Rashid,ENG,558,687
29,Alzarri Joseph,WI,558,625
30,Marco Jansen,SA,553,573
31,Lungi Ngidi,SA,551,621
32,Andy McBrine,IRE,545,646
33,Sandeep Lamichhane,NEP,539,595
34,Reece Topley,ENG,531,558
35,Mark Adair,IRE,529,565
36,Mehedi Hasan,BAN,522,725
37,Tabraiz Shamsi,SA,521,597
38,Dilshan Madushanka,SL,518,518
39,Richard Ngarava,ZIM,518,524
40,Fazalhaq Farooqi,AFG,516,544
41,Mustafizur Rahman,BAN,514,695
42,Jofra Archer,ENG,513,642
43,Christopher Sole,SCO,509,511
44,Ruben Trumpelmann,NAM,508,510
45,Mohammad Wasim,PAK,505,505
46,Logan van Beek,NED,501,529
47,Aayan Afzal Khan,UAE,500,517
48,Lachlan Ferguson,NZ,499,668
49,Bilal Khan,OMA,499,545
50,Aryan Dutt,NED,493,510
51,Craig Young,IRE,487,487
52,Zeeshan Maqsood,OMA,483,510
53,Blessing Muzarabani,ZIM,482,515
54,Kaleemullah,OMA,481,481
55,Nosthush Kenjige,USA,479,479
56,Gerald Coetzee,SA,479,479
57,Safyaan Sharif,SCO,477,542
58,Rohan Mustafa,UAE,473,523
59,Taskin Ahmed,BAN,472,528
60,Mohammad Nawaz,PAK,468,549
61,Sikandar Raza,ZIM,468,494
62,Joshua Little,IRE,465,533
63,Wanindu Hasaranga,SL,464,582
64,Assad Vala,PNG,464,467
65,Chad Soper,PNG,462,488
66,Mark Wood,ENG,461,615
67,Dipendra Airee,NEP,458,482
68,Sean Abbott,AUS,456,496
69,Shardul Thakur,IND,453,546
70,Zahoor Khan,UAE,446,490
71,Moeen Ali,ENG,444,629
72,Junaid Siddique,UAE,439,440
73,Hardik Pandya,IND,437,552
74,Mohammad Shoriful Islam,BAN,436,439
75,Michael Leask,SCO,431,439
76,Naseem Shah,PAK,429,474
77,Jason Holder,WI,429,486
78,Kasun Rajitha,SL,428,433
79,Fred Klaassen,NED,427,507
80,Tim Southee,NZ,424,638
81,Tangeni Lungameni,NAM,421,443
82,Shadab Khan,PAK,418,607
83,Karan KC,NEP,418,424
84,Brandon McMullen,SCO,417,417
85,Simi Singh,IRE,416,507
86,Hasan Ali,PAK,415,766
87,Paul van Meekeren,NED,414,449
88,Gudakesh Motie-Kanhai,WI,411,411
89,Dushmantha Chameera,SL,411,552
90,Nisarg Patel,USA,409,414
91,Sompal Kami,NEP,409,457
92,Glenn Maxwell,AUS,408,489
93,Taijul Islam,BAN,405,502
94,Ish Sodhi,NZ,400,509
95,Lalit Rajbanshi,NEP,399,403
96,Yuzvendra Chahal,IND,399,730
97,Anrich Nortje,SA,397,479
98,Dhananjaya de Silva,SL,397,480
99,Sam Curran,ENG,394,454
100,Dunith Wellalage,SL,393,417
